Marker,FL07-A,FL08-A,FL10-A,FL09-A,FL11-A,FL06-A,FL05-A,FL04-A,FL03-A,FL00-A,FL01-A,FL02-A,FL16-A,FL15-A,FL17-A,FL18-A,FL13-A,FL14-A,FL12-A,FL23-A,FL22-A,FL21-A,FL19-A,FL20-A,FL37-A,FL36-A,FL38-A,FL39-A,FL42-A,FL41-A,FL40-A,FL31-A,FL32-A,FL34-A,FL33-A,FL35-A,FL24-A,FL26-A,FL25-A,FL28-A,FL27-A,FL30-A,FL29-A,FL46-A,FL47-A,FL43-A,FL45-A,FL44-A,FL48-A,FL49-A,FL50-A
Alexa Fluor 594,-0.0104319639767094,-0.0115217877229205,-0.0112408417382265,-0.0152750128161967,-0.0215300311710256,-0.0234521605297585,-0.0222515697656951,-0.0340012962879425,0.0693945294660065,0.0205668994536736,-0.0153591454885189,-0.00512416060680917,-0.0130289751968996,-0.0125680263823048,-0.0180706661114449,-0.0170869966659247,-0.0229844164825821,-0.0230563997438731,-0.0344483447094924,0.0904132372834661,0.0334863292091658,-0.0262741062019593,-0.00932902846127421,-0.0116161749348937,0.0228447918116349,-0.0175272291874921,-0.115440221251577,-0.0249555271419625,-0.0476492360548246,-0.0650649239124487,-0.0358971927608633,-0.191180233032815,-0.0665259086960036,0.253747559716877,0.384325659894413,0.353922420510008,0.0918256820031387,0.0882066230744773,0.0427955026934822,0.0381650768540055,-0.0128097390969456,-0.00388618227464163,-0.000501770418296985,-0.0216333048869635,-0.0353644487863576,-0.0354184894303019,-0.0274545185995175,-0.0182304081524765,0.00276092941072276,0.00160740539723831,0.000342667952903729
Alexa Fluor 647,-0.000588478701423233,-0.000612311282078373,-0.000606737429652065,-0.000847308332610397,-0.00124495313757115,-0.00131274944106646,-0.00115188235947058,0.000536275071529809,-0.00618639119945145,-0.0346612316009123,-0.0515807626505093,-0.00466047801351969,-0.000662944671686125,-0.000683338241787799,-0.000991513483413829,-0.000852503865192485,-0.0015390254184047,-0.00146564897991623,0.000507304396941873,-0.00725614223802711,-0.0193931667463727,-0.0913300116167238,-0.027994094989283,-0.0185506809863332,0.000461915325703614,0.000282514511767532,0.00699326988899086,0.00055474324340857,-0.0832178346591976,-0.12156391153866,-0.0265030449198947,0.0130827743301323,0.00471355834932919,-0.0158763969142302,-0.0241010616314916,0.0485307644503682,-0.00929504502035848,-0.0258936163503844,-0.015149895055689,-0.00242507061004004,0.0129411684237357,0.00364029694423423,0.00023970176944459,0.807171942811809,0.208931229824907,0.196360308034198,0.193924787263877,0.0732800987425713,-0.0151572419491784,-0.00681567144714341,-0.00192650054664452
eFluor 780,-0.000606154098052398,-0.000727702013023213,-0.000649685554283194,-0.00119656104779477,-0.00209018874286714,-0.00312261358658615,-0.00326016339319877,-0.00252019226296717,-0.000369894755805433,0.00823858367787419,0.0105756434345347,0.00610934362652069,-0.000843206542289753,-0.000466740270084026,-0.00123447485075608,-0.00142755799842109,-0.00202367712981441,-0.00233558967953734,-0.00189638743291548,0.00084240850811873,0.0036577804918607,0.0183882815969046,0.00543429989280873,0.00791941857010431,0.00135415815758762,-0.0021511428959792,-0.00305925171273453,-0.00148522099491293,0.0168552253381317,0.0234011430831566,-0.0843021630251964,-0.00304900635911751,-0.000351302983710864,0.00671273987713166,0.00955227571226127,0.0104850193835819,0.012367557135945,0.0139733886051144,0.00600858357286372,-0.136856847424528,-0.129569113987171,-0.032912754142401,-0.00217507302204083,-0.0177857979531045,0.00538910310505024,0.00628113361781783,0.0251477604728989,0.102348262344588,0.832289261719166,0.349232832324657,0.0962872336119195
FITC,-0.0567292229662118,-0.0630822599381278,-0.0608466452260948,-0.082948327259409,-0.117364101538006,-0.110567902411284,-0.0978460240034186,-0.0724210398662907,-0.0708363202384136,-0.0590858403745234,-0.0315021900601889,-0.0067476389122727,-0.0701400268033223,-0.0676432031832155,-0.098886573964103,-0.0934782288190288,-0.110812323894308,-0.105272368650722,-0.0710951466956974,-0.0575420557122402,-0.0344538674611935,-0.00253173957272022,0.0010203293743512,-0.00700752180420396,0.865249541385855,0.316226178153353,0.0257699361070795,-0.0196682203243674,-0.00660853580007211,0.0193277017889352,0.00104390093163354,-0.0176540170484283,-0.00677667077152621,0.0075391271071584,0.0221242192868669,0.0056089963820538,0.0167441166942326,0.010962366008344,0.0101200566145327,0.00131008169587017,-0.00387286262737198,-0.00281801343825167,-0.00147823714370299,-0.0117287116395873,0.0146885672429718,0.013781629310394,0.0083085955383174,-0.00316317576949898,0.00109569712128331,-0.000151925820313556,-0.000877031362109812
PE,-0.0139535038061895,-0.0155469504015561,-0.0148520150633126,-0.0203763665693861,-0.0291339865657196,-0.0328895842079539,-0.0261189931681743,0.0407772545525673,-0.0346565706522263,-0.0300773773795743,-0.011332801834674,-0.00129731284791869,-0.0171619191562457,-0.016513483268577,-0.0245855482348172,-0.0233213064442294,-0.0331457949447063,-0.026666684771924,0.0467266862458827,-0.0393757754753996,-0.024255712118735,-0.00300236822753598,-2.45619143582339e-05,-0.00105769151185791,-0.0358611634616494,0.00271697680451555,0.313755061250845,0.138617959393952,0.0417010321292626,0.0268185077792523,0.00897359602548936,0.576820395598604,0.304173979087076,0.106270035962884,-0.0227140880326439,-0.0741720189254075,-0.0233304991467694,-0.024981745746011,-0.0116487096366678,-0.0196243251995272,-0.000277999977603748,-0.000287311826043991,-0.000329690970132605,0.00398205025432067,0.0108440438767867,0.0106000341324312,0.00813648945327374,0.00247038580448961,-0.000507711630881288,-0.000470313272664248,-0.00034410314195428
PE-Cy7,0.00123000990830165,0.00139610817015273,0.00135137149754324,0.00180652167849323,0.00252472615238448,0.00288665554448424,0.00285368602819388,0.00264387478869668,-0.00278055237103347,-0.0410562613903782,-0.045806703845615,0.032668342431837,0.00153982012565688,0.00141067253481741,0.00209822086683536,0.00199538294446349,0.00239741022079936,0.00251289285616497,0.00248148111251263,-0.00414751482276126,-0.0169852330595448,-0.0778640905195787,-0.0146811015864335,0.0363653318246224,-0.00181188050815814,0.00370125051814797,0.00689361702100818,0.00227699470071245,-0.0734429137400782,-0.0996963519949124,0.259231820715048,0.0104596365653408,0.00284956312089494,-0.0136802064409259,-0.0207878390255917,-0.0349923202326537,-0.0496193601858673,-0.0570869338289708,-0.0250701000438431,0.436864172563366,0.430585002699671,0.110188099768625,0.00683578099372631,0.012476344405082,-0.0405880427206128,-0.0407884461986536,-0.0128645811472202,0.0166561214006602,-0.00620658512912058,-0.0148527067617783,-0.00517883537651344
PerCP-Cy5.5,-0.0136249889005974,-0.0152559948215772,-0.0148421974967456,-0.0198665852491103,-0.0276141439530627,-0.0303673637568302,-0.0272227952220661,-0.0172597495511243,-0.0320705545902182,0.0908070709166111,0.129424697607966,0.00571740665420851,-0.016891372859326,-0.0162879294796691,-0.0232713284363756,-0.0218936025586872,-0.0284927189418369,-0.0264090381558338,-0.0158283872576504,-0.0316603473495362,0.0276859692862174,0.221727598159623,0.0671759587328083,0.0372229177761416,0.00732890305555869,-0.0144334264001719,-0.00238543913100561,-0.0159426934011113,0.211237609742141,0.308915022101396,0.0372513497022838,0.0137160137245328,0.00186191425719987,-0.046977728041559,-0.0630208598175244,-0.0246252596907043,0.10589274180706,0.127924054774981,0.0715823430188727,0.0320196391116013,-0.0718702151971291,-0.0195438389647152,-0.00165195123051575,-0.104717928407433,0.101731527569229,0.103201519923006,0.0589419054527525,0.0357517494936529,-0.00733560884964054,-0.00063818965618145,-0.000153667613395638
AF,0.0477036947876433,0.053065166263921,0.0510124945476603,0.0697181843215025,0.0991210924739033,0.108622489215364,0.096937595333226,0.0629352354504473,0.0625181375346015,0.0495732134870106,0.025195918599045,0.00550956246972655,0.0589076108968674,0.0567382839234631,0.0835522526107353,0.0791397947793563,0.108439367574793,0.101024980703444,0.0601988134268871,0.0513799515028741,0.0294233379377372,-0.000104269259129202,-0.00162469609481274,0.00534854277650669,-0.037308600902167,0.0479833263829657,0.0209004348631991,0.0390547926103519,0.00798432658463788,-0.0195250650437927,-0.00217151379044979,-0.0246278863358935,-0.0153978369464743,-0.0159898644165295,-0.0199673767633554,-0.00298293200904764,-0.0143648697258299,-0.0096888672305625,-0.00886935605461384,-0.00198350537527135,0.00285185452375192,0.0022738295971409,0.00124114256912777,0.0104031554277094,-0.0138650643892243,-0.0131181483979932,-0.00817384711078993,0.00156679822704896,-0.00512523167148566,-0.00160764595480068,0.000258888410732121
